Nº;CNPJ;Estado;Tipo;Instituição de Ensino e Pesquisa (IE) / Centro de Pesquisa (CT) / Incubadora (INC);Qtd Projetos Realizados;Valor Total
102;24.492.860/0003-10;MG;IE;FAI - Faculdade de Administração e Informática - Centro de Desenvolvimento e Pesquisa - CDP;2; R$ 221.430,70 
103;42.772.319/0001-85;MG;CT;FUMSOFT - Sociedade Mineira de Software;1; R$ 215.048,48 
104;88.630.413/0002-81;RS;INC;RAIAR - Incubadora Multissetorial de Empresas de Base Tecnológica e Inovação da PUCRS;1; R$ 209.843,81 
105;45.718.988/0001-67;SP;IE;FACENS - Faculdade de Engenharia de Sorocaba - Instituto de Pesquisa e Estudos Avançados;2; R$ 206.039,13 
106;33.555.921/0001-70;RJ;INC;PUC Rio Gênesis - Incubadora Tecnológica Gênesis da Pontifícia Universidade Católica do Rio de Janeiro;1; R$ 204.796,66 
107;00.038.174/0001-43;DF;INC;UnB CDT - Incubadora de Empresas do Centro de Apoio ao Desenvolvimento Tecnológico;2; R$ 195.415,53 
108;46.068.425/0001-33;SP;IE;UNICAMP - Universidade Estadual de Campinas - Instituto de Física Gleb Wataghin/Grupo de Óptica Quântica/Depto de Eletrônica Quântica - IFGW;1; R$ 185.083,07 
109;84.684.182/0003-19;SC;IE;SOCIESC - Sociedade Educacional de Santa Catarina - Faculdade de Tecnologia Tupy Curitiba;1; R$ 174.000,00 
110;07.749.605/0002-00;PR;CT;ÂNIMA - Filial 1 Curitiba - Instituto Ânima Sociesc de Inovação, Pesquisa e Cultura - Filial 1 Curitiba;1; R$ 165.875,00 
111;45.718.988/0001-67;SP;IE;FACENS - Faculdade de Engenharia de Sorocaba - Departamento de Engenharia da Computação;3; R$ 164.780,49 
112;24.098.477/0001-10;PB;IE;UFPB - Universidade Federal da Paraíba - Departamento de Informática;1; R$ 150.000,00 
113;00.662.065/0001-00;MG;INC;INCIT - Incubadora de Base Tecnológica de Itajubá;2; R$ 146.400,00 
114;21.040.001/0001-30;MG;IE;UNIFEI - Universidade Federal de Itajubá - Instituto de Engenharia de Sistemas e Tecnologias da Informação - IESTI;1; R$ 126.497,78 
115;06.276.103/0001-19;MA;IE;UFMA - Universidade Federal do Maranhão - Departamento de Engenharia de Eletricidade;1; R$ 119.191,55 
116;33.555.921/0001-70;RJ;IE;PUC Rio - Pontifícia Universidade Católica do Rio de Janeiro - Instituto Tecgraf de Desenvolvimento de Software Técnico Científico;1; R$ 118.417,00 
117;09.261.843/0001-16;PB;INC;ITCG - Incubadora Tecnológica de Campina Grande;1; R$ 109.625,25 
118;01.203.327/0001-23;PE;CT;C.E.S.A.R - Centro de Estudos e Sistemas Avançados do Recife;1; R$ 104.900,99 
119;92.969.856/0001-98;RS;IE;UFRGS - Universidade Federal do Rio Grande do Sul - Departamento de Engenharia Elétrica - ELETRO;1; R$ 102.343,12 
120;92.969.856/0001-98;RS;IE;UFRGS - Universidade Federal do Rio Grande do Sul - Instituto de Informática - INF;1; R$ 101.532,06 
121;24.134.488/0001-08;PE;IE;UFPE - Universidade Federal de Pernambuco - Departamento de Eletrônica e Sistemas - EE;1; R$ 98.640,00 
122;17.717.985/0001-04;MG;IE;UFMG - Universidade Federal de Minas Gerais - Departamento de Engenharia Eletrônica - DELT;4; R$ 96.614,09 
123;11.022.597/0001-91;PE;IE;UPE - Universidade de Pernambuco - Escola Politécnica de Pernambuco - POLI;1; R$ 90.000,00 
124;33.555.921/0001-70;RJ;IE;PUC Rio - Pontifícia Universidade Católica do Rio de Janeiro - Departamento de Engenharia Elétrica - ELE;2; R$ 85.000,00 
125;15.180.714/0001-04;BA;IE;UFBA - Universidade Federal da Bahia - Centro de Capacitação Tecnológica em Automação Industrial - CTAI;1; R$ 46.543,58 
126;81.531.428/0001-62;SC;IE;IFSC - Instituto Federal de Santa Catarina - Unidade São José;1; R$ 38.616,60 
TOTAL;;;;;927; R$ 739.798.690,27 
